DATE,AUD Australian Dollar,CAD Canadian Dollar,CHF Swiss Franc,EUR Euro,GBP British Pound,JPY Japanese Yen,NZD New Zealand Dollar,USD US Dollar,ZAR South 
01-Jul,53.6,61.1,82.26,82.46,95.12,0.58,48.69,79.02,4.81
02-Jul,53.79,61.19,82.32,82.33,95.52,0.58,48.88,78.95,4.82
03-Jul,53.88,61.26,82.32,82.33,95.53,0.58,48.61,78.95,4.82
04-Jul,54.28,61.42,82.19,82.49,95.92,0.58,49.27,78.92,4.85
05-Jul,53.81,61.23,82.19,81.67,95.22,0.58,48.73,79.35,4.84
06-Jul,53.83,60.71,81.46,80.65,94.17,0.59,48.81,79.14,4.73
07-Jul,54.15,60.97,81.38,80.66,94.79,0.58,48.94,79.15,4.73
08-Jul,54.14,61,81.17,80.45,95.07,0.58,48.9,79.25,4.68
09-Jul,54.42,61.21,81.23,80.81,95.47,0.58,49.17,79.33,4.72
10-Jul,54.32,61.22,81.2,80.79,95.43,0.58,49.14,79.3,4.7
